category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
attractions,Janet's Foss,attraction,,,,,54.0658197,-2.1361716,,,,,,12867574,node,2026-03-06T09:52:37.364299
attractions,Foldys Cross,monument,,,,,53.7720842,-2.2256454,,,,,,27452990,node,2026-03-06T09:52:37.364319
attractions,Clitheroe Castle Museum,museum,,,,,53.8701567,-2.3931551,,https://www.lancashire.gov.uk/leisure-and-culture/museums/clitheroe-castle-museum/,,,,27603890,node,2026-03-06T09:52:37.364324
attractions,Malham Cove,attraction,,,,,54.0726842,-2.1579062,,,,,,28887497,node,2026-03-06T09:52:37.364326
attractions,Jubilee Tower (Darwen Tower),monument,,,,,53.6896455,-2.4879552,,,,,,29295678,node,2026-03-06T09:52:37.364330
attractions,Walton's Monument,monument,,,,,53.8321116,-2.1623332,,,,,,29784308,node,2026-03-06T09:52:37.364332
attractions,Rivington Pinetum,attraction,,,,,53.6209902,-2.5567414,,,,,,322878689,node,2026-03-06T09:52:37.364339
attractions,Listening Gallery,gallery,,,,,54.0669925,-2.2776186,,,24/7,,,370914473,node,2026-03-06T09:52:37.364342
attractions,Slaidburn War Memorial,monument,,,,,53.9669089,-2.4406974,,,,,,471203787,node,2026-03-06T09:52:37.364344
attractions,Slaidburn Archive,museum,,"25, Church Street, Clitheroe, BB7 3ER",BB7 3ER,Clitheroe,53.9649409,-2.4429895,,http://www.slaidburnarchive.org/,,,,471203799,node,2026-03-06T09:52:37.364347
attractions,Covell Cross,monument,,,,,54.0501078,-2.8034475,,,,,,619431000,node,2026-03-06T09:52:37.364349
attractions,Towngate Cafe,cafe,,"15-17, Blackburn Road, Blackburn, BB6 7DF",BB6 7DF,Blackburn,53.7852432,-2.4084372,,,,,,632879752,node,2026-03-06T09:52:37.364352
attractions,Yarrow Valley Country Park,attraction,,,,,53.6319759,-2.6515859,,,,,,639840913,node,2026-03-06T09:52:37.364353
attractions,Catrigg Force,attraction,,,,,54.099345,-2.2580954,,,,,,703392345,node,2026-03-06T09:52:37.364355
attractions,Noon Hill,monument,,,,,53.630318,-2.535315,,,,,,872427863,node,2026-03-06T09:52:37.364357
attractions,HAPPA Horses And Ponies Protection Association,attraction,,,,,53.810806,-2.1752534,,,,,,944055913,node,2026-03-06T09:52:37.364359
attractions,The Whitaker,museum,,"Haslingden Road, Rossendale, BB4 6RE",BB4 6RE,Rossendale,53.7002144,-2.2971973,+44 170 626 0785,https://www.thewhitaker.org/,"We, Fr-Su 10:00-16:00; Th 10:00-20:00",,,981435146,node,2026-03-06T09:52:37.364363
attractions,Scaleber Force,attraction,,,,,54.0588481,-2.244933,,,,,,1079623580,node,2026-03-06T09:52:37.364366
attractions,British in India,museum,,"Hallam Road, Nelson, BB9 8AD",BB9 8AD,Nelson,53.8394735,-2.2011897,,https://www.visitpendle.com/things-to-do/british-in-india-museum-p7152,Mo-Fr 09:00-16:00,,,1730727200,node,2026-03-06T09:52:37.364527
attractions,Buoy,monument,,,,,53.7612658,-2.7413117,,,,,,1906691056,node,2026-03-06T09:52:37.364530
