category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
cafes,The Health Shack,cafe,,"22, Miller Arcade, Lancaster Road, Preston, PR1 2QY",PR1 2QY,Preston,53.7588487,-2.6978054,+44 1772 561443,,Mo-Sa 10:00-19:00,,,30770935,node,2026-03-06T09:48:34.157401
cafes,Cafe Blanc,cafe,,"King William Street, Blackburn, BB1 7DJ",BB1 7DJ,Blackburn,53.7494,-2.4844469,,,,,,46816239,node,2026-03-06T09:48:34.157426
cafes,Exchange Coffee,cafe,,"13-15, Fleming Square, Blackburn, BB2 2DG",BB2 2DG,Blackburn,53.7473798,-2.4837922,,,,,,59745885,node,2026-03-06T09:48:34.157433
cafes,Cobble Hey,cafe,,,,,53.8980035,-2.7067686,,,,,,267720378,node,2026-03-06T09:48:34.157444
cafes,Watershed Mill,cafe,,"Langcliffe Road, Settle, BD24 9LR",BD24 9LR,Settle,54.0746484,-2.2785853,,,,,,280788460,node,2026-03-06T09:48:34.157455
cafes,The Cobbled Corner,cafe,,"Chipping, PR3 2QH",PR3 2QH,Chipping,53.8844326,-2.5767457,,,,,,321824494,node,2026-03-06T09:48:34.157460
cafes,Riverbank Tearooms,cafe,tea;coffee;cake;breakfast;lunch,"23, Chapel Street, Clitheroe, BB7 3ES",BB7 3ES,Clitheroe,53.9662737,-2.4382207,,,,,,471076572,node,2026-03-06T09:48:34.157463
cafes,Car and Kitchen,cafe,,"Market Place, Settle, BD24 9EF",BD24 9EF,Settle,54.069142,-2.2769,,https://thecafe.carandkitchen.co.uk/cafe,,,,486270579,node,2026-03-06T09:48:34.157466
cafes,The Water Trough,cafe,coffee_shop;breakfast;wine;brunch;lunch,"1095, Burnley Road East, Rossendale, BB4 9QR",BB4 9QR,Rossendale,53.7282723,-2.2411902,+44 1706 231533,https://www.watertrough.co.uk,Tu-Th 08:30-16:30; Fr-Sa 09:00-22:00; Su 09:00-14:30,,,569990821,node,2026-03-06T09:48:34.157476
cafes,Whale Tail Cafe,cafe,regional;coffee,"78a, Penny Street, Lancaster, LA1 1XN",LA1 1XN,Lancaster,54.0465632,-2.8003042,+44 1524 845133,https://whaletailcafe.co.uk/,Mo-Fr 09:00-16:00; Su 10:00-15:30; Sa 09:00-16:30,,no,610595515,node,2026-03-06T09:48:34.157485
