category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
hotels,The Alexander,hotel,,,,,53.7835296,-2.2304307,,,,,,29878508,node,2026-03-06T09:49:27.817260
hotels,Millstone Hotel,hotel,,,,,53.7735867,-2.5309161,,,,,,309632169,node,2026-03-06T09:49:27.817279
hotels,Last Drop Village,hotel,,"Bolton, BL7 9PZ",BL7 9PZ,Bolton,53.62219,-2.4210425,+44 1204 591131,,,,,361426756,node,2026-03-06T09:49:27.817284
hotels,Barton Grange Hotel,hotel,,"746-768, Garstang Road, Preston, PR3 5AA",PR3 5AA,Preston,53.8304868,-2.7367936,,,,,,390544212,node,2026-03-06T09:49:27.817287
hotels,Whitburn House Hotel,hotel,,"111, Garstang Road, Preston, PR2 3EB",PR2 3EB,Preston,53.7752384,-2.7083483,,,,,,390544216,node,2026-03-06T09:49:27.817289
hotels,Royal Oak Hotel,pub,,,,,53.8999658,-2.7745392,+44 1995 603318,https://www.royaloakgarstang.co.uk/,11:00-23:00,,yes,448573853,node,2026-03-06T09:49:27.817292
hotels,Eagle and Child,pub,,"3, High Street, PR3 1EA",PR3 1EA,,53.9007836,-2.7743212,+44 1995 601524,,"Su-Th 12:00-23:00, Fr,Sa 12:00-24:00",,,448647493,node,2026-03-06T09:49:27.817295
hotels,The Villa Express,hotel,,,,,53.8055734,-2.890174,,,,,,559767085,node,2026-03-06T09:49:27.817297
hotels,Travelodge Preston Chorley,hotel,,,,,53.7015753,-2.6385239,,https://www.travelodge.co.uk/hotels/170/Preston-Chorley-hotel,,,,583219304,node,2026-03-06T09:49:27.817303
hotels,Shaw Hill,hotel,,"Shaw Hill, Chorley, PR6 7PP",PR6 7PP,Chorley,53.6827034,-2.6417714,,,,,,592077909,node,2026-03-06T09:49:27.817305
hotels,Mytton Fold Hotel,hotel,,,,,53.8083678,-2.43982,,,,,,654023153,node,2026-03-06T09:49:27.817307
hotels,The Fox Field,hotel,,,,,53.8108384,-2.4322026,,,,,,654023434,node,2026-03-06T09:49:27.817309
hotels,Sparth House,hotel,,"Whalley Road, Accrington, BB5 5RP",BB5 5RP,Accrington,53.7793075,-2.3849344,,,,,,660292481,node,2026-03-06T09:49:27.817311
hotels,Mitton Hall,hotel,,,,,53.8420321,-2.4318248,,,,,,661056375,node,2026-03-06T09:49:27.817312
hotels,Holiday Inn,hotel,,"Ring Way, Preston, PR1 3AU",PR1 3AU,Preston,53.7623981,-2.6969748,,,,,,663170041,node,2026-03-06T09:49:27.817314
hotels,Travelodge,hotel,,"ExtraMSA Blackburn with Darwen Services, Darwen, BB3 0DB",BB3 0DB,Darwen,53.7127451,-2.477142,,https://www.travelodge.co.uk/hotels/114/Blackburn-M65-hotel,,,,766573379,node,2026-03-06T09:49:27.817316
hotels,Holiday Inn Express Burnley,hotel,,,,,53.7938815,-2.2563814,+44 1282 855 955,https://www.hiexburnley.com/,,,,773641254,node,2026-03-06T09:49:27.817493
hotels,Strathmore Hotel,hotel,,"Marine Road East, Morecambe, LA4 5AP",LA4 5AP,Morecambe,54.0767054,-2.8496227,,https://www.thestrathmore.co.uk/,,,,1108903757,node,2026-03-06T09:49:27.817500
hotels,Bay Roomz,hotel,,"400, Marine Road East, Morecambe, LA4 5AW",LA4 5AW,Morecambe,54.0768246,-2.8522402,,,,,,1116465209,node,2026-03-06T09:49:27.817508
hotels,The Shakespeare Bed and Breakfast,guest_house,,"96, St Leonard's Gate, Lancaster, LA1 1NN",LA1 1NN,Lancaster,54.0501169,-2.7973904,,,,,,1326945854,node,2026-03-06T09:49:27.817510
hotels,Ormerod,guest_house,,,,,53.794089,-2.2332877,,,,,,1371242127,node,2026-03-06T09:49:27.817512
