category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
pubs,Yarrow Bridge,pub,international,"Bolton Road, Chorley, PR7 4AB",PR7 4AB,Chorley,53.6398403,-2.61782,,https://www.greeneking.co.uk/pubs/lancashire/yarrow-bridge,,,limited,22533343,node,2026-03-06T09:52:14.573421
pubs,The Talbot,pub,,,,,53.6605564,-2.6679403,,,,,,22533849,node,2026-03-06T09:52:14.573440
pubs,Traveller's Rest,pub,,"Dawber's Lane, Chorley, PR7 6EG",PR7 6EG,Chorley,53.6630889,-2.7116301,,,,,,22534055,node,2026-03-06T09:52:14.573445
pubs,The Kettledrum Inn,pub,,,,,53.7716214,-2.192659,,,,,,26941657,node,2026-03-06T09:52:14.573448
pubs,Navigation,pub,,"2, Canal Street, Blackburn, BB2 4DJ",BB2 4DJ,Blackburn,53.7323844,-2.5035211,,,,,limited,28892511,node,2026-03-06T09:52:14.573457
pubs,Stage Door,pub,,,,,53.746667,-2.4837023,,,,,,28892622,node,2026-03-06T09:52:14.573459
pubs,Feildens Arms,pub,,"673, Preston Old Road, Blackburn, BB2 5ER",BB2 5ER,Blackburn,53.726337,-2.5389852,,,,,,29162658,node,2026-03-06T09:52:14.573462
pubs,The Toll Bar,pub,,"158, Accrington Road, Blackburn, BB1 2AH",BB1 2AH,Blackburn,53.7472057,-2.4509806,,,,,,30053908,node,2026-03-06T09:52:14.573464
pubs,The Roebuck,pub,,"Waterhouse Green, Chorley, PR6 7LA",PR6 7LA,Chorley,53.6854025,-2.6386499,,,,,,30119854,node,2026-03-06T09:52:14.573467
pubs,Halfway House,pub,,"470, Preston Road, Chorley, PR6 7JB",PR6 7JB,Chorley,53.7016579,-2.639291,,,,,,30136487,node,2026-03-06T09:52:14.573469
pubs,Yew Tree,pub,,"100, Victoria Road, Preston, PR5 4AU",PR5 4AU,Preston,53.7497036,-2.6747952,,,,,,30399974,node,2026-03-06T09:52:14.573471
pubs,The Bear's Paw,pub,,"42, Church Street, Preston, PR1 3DH",PR1 3DH,Preston,53.759534,-2.6942647,,,,,,30770939,node,2026-03-06T09:52:14.573473
pubs,Hogarths,pub,,"140-140a, Church Street, Preston, PR1 3BU",PR1 3BU,Preston,53.7584235,-2.6968691,,,,,limited,30770944,node,2026-03-06T09:52:14.573475
pubs,The Old Bull / Harry's Bar,pub,,"141, Church Street, Preston, PR1 3BU",PR1 3BU,Preston,53.7583664,-2.697056,,,,,,30770945,node,2026-03-06T09:52:14.573478
pubs,The Grey Friar,pub,,"144, Friargate, Preston, PR1 2EJ",PR1 2EJ,Preston,53.760335,-2.702917,,https://www.jdwetherspoon.com/pubs/all-pubs/england/lancashire/the-grey-friar-preston,,,limited,32532722,node,2026-03-06T09:52:14.573482
pubs,The Woodsman,pub,,"Lancaster Lane, Leyland, PR25 5RY",PR25 5RY,Leyland,53.6961439,-2.672473,,,,,,33856152,node,2026-03-06T09:52:14.573484
pubs,Swan with Two Necks,pub,,,,,53.8522102,-2.3728649,,,,,,34097024,node,2026-03-06T09:52:14.573486
pubs,The White Bull Hotel,pub,,"135, Market Street, Chorley, PR7 2SG",PR7 2SG,Chorley,53.6504197,-2.631326,,,,,,36662926,node,2026-03-06T09:52:14.573488
pubs,The Last Orders Inn,pub,,"113, Market Street, Chorley, PR7 2SQ",PR7 2SQ,Chorley,53.6511653,-2.6315339,,,,,,36662927,node,2026-03-06T09:52:14.573502
pubs,The Lion,pub,,"29, Wensley Road, Blackburn, BB2 1PX",BB2 1PX,Blackburn,53.7456972,-2.4982309,,,,,,36677957,node,2026-03-06T09:52:14.573504
