category,name,type,cuisine,address,postcode,town,latitude,longitude,phone,website,opening_hours,stars,wheelchair,osm_id,osm_type,scraped_at
restaurants,Luciano's at the Millstone,restaurant,,"Bolton Road, Chorley, PR6 9HJ",PR6 9HJ,Chorley,53.6108031,-2.5755983,,,"Su-Th 12:00-21:00; Fr,Sa 12:00-22:00",,,22464388,node,2026-03-06T09:39:44.351399
restaurants,The Elephant,restaurant,indian,,,,53.6624413,-2.7188336,,,,,,22534046,node,2026-03-06T09:39:44.351418
restaurants,Retreat,restaurant,,"19, Church Street, Chorley, PR7 4EX",PR7 4EX,Chorley,53.6136457,-2.6042284,,,,,,24361691,node,2026-03-06T09:39:44.351423
restaurants,Raj,restaurant,indian,"106, Bolton Road, Blackburn, BB2 3PZ",BB2 3PZ,Blackburn,53.7380547,-2.4882661,,,,,,28892614,node,2026-03-06T09:39:44.351425
restaurants,Calypsos,restaurant,caribbean,,,,53.7491557,-2.4728603,,,,,,29356017,node,2026-03-06T09:39:44.351428
restaurants,Sagar Premier Indian Restaurant,restaurant,indian,"Clayton Brook Road, Preston, PR5 8HZ",PR5 8HZ,Preston,53.7173069,-2.638025,,,,,,31532928,node,2026-03-06T09:39:44.351430
restaurants,McDonald's,fast_food,burger,"Preston, PR5 4AW",PR5 4AW,Preston,53.7479571,-2.6782625,+44 1772 886817,https://www.mcdonalds.com/gb/en-gb/location/preston/capitol-centre/the-capitol-centre-retail-park/8260482.html,24/7,,,31532985,node,2026-03-06T09:39:44.351433
restaurants,Unnamed,fast_food,indian,"48-52, Darwen Street, Blackburn",,Blackburn,53.7461888,-2.4825936,,,,,,31692707,node,2026-03-06T09:39:44.351435
restaurants,EastZEast,restaurant,,"9, Church Street, Preston, PR1 3BQ",PR1 3BQ,Preston,53.7588248,-2.6966297,+44 1772 200084,https://eastzeast.com/,,,,32030719,node,2026-03-06T09:39:44.351438
restaurants,Manjaros,restaurant,,"79-81, London Road, Preston, PR1 4BA",PR1 4BA,Preston,53.7586303,-2.6845412,,,,,,32532694,node,2026-03-06T09:39:44.351445
restaurants,Elliot's Bistro,restaurant,,"200, Preston Road, Chorley, PR6 7HW",PR6 7HW,Chorley,53.687537,-2.6391563,,,,,,36662980,node,2026-03-06T09:39:44.351447
restaurants,The Village Fish Bar,fast_food,fish_and_chips,"15, Poplar Avenue, Preston, PR5 6JJ",PR5 6JJ,Preston,53.731258,-2.6559144,,,,,,36662985,node,2026-03-06T09:39:44.351448
restaurants,The Foundry Tap & Kitchen,restaurant,fish,"631, Livesey Branch Road, Blackburn, BB2 5DQ",BB2 5DQ,Blackburn,53.7227457,-2.5319742,,,,,,36681907,node,2026-03-06T09:39:44.351450
restaurants,Azeem's,restaurant,indian,,,,53.7463525,-2.4843916,,,,,,49343673,node,2026-03-06T09:39:44.351452
restaurants,McDonald's,fast_food,burger,"21-23, King William Street, Blackburn, BB1 7DJ",BB1 7DJ,Blackburn,53.7483502,-2.4839543,+44 1254 54167,https://www.mcdonalds.com/gb/en-gb/location/blackburn/blackburn/2123-king-william-street/8260146.html,Mo-Su 07:00-21:00,,limited,60038394,node,2026-03-06T09:39:44.351455
restaurants,Armaans,restaurant,,,,,53.7482214,-2.4910194,,,,,,61817138,node,2026-03-06T09:39:44.351457
restaurants,Bellavista,restaurant,italian,"Wildhouse Lane, OL16 3JW",OL16 3JW,,53.6192474,-2.1113895,+44 1706 342479,,,,,245454847,node,2026-03-06T09:39:44.351459
restaurants,Miller & Carter,restaurant,steak,"Brandlesholme Road, Bury, BL8 4DS",BL8 4DS,Bury,53.6247224,-2.3375285,,https://www.millerandcarter.co.uk/restaurants/north-west/millerandcartergreenmount#/,Mo-Su 12:00-23:00,,yes,256400410,node,2026-03-06T09:39:44.351461
restaurants,Subway,fast_food,sandwich,"23, Union Street, Accrington, BB5 1PL",BB5 1PL,Accrington,53.753873,-2.3662625,,https://restaurants.subway.com/united-kingdom/en/accrington/23-union-st,,,yes,268514291,node,2026-03-06T09:39:44.351611
restaurants,The Inn at Whitewell,restaurant,,"Clitheroe, BB7 3AT",BB7 3AT,Clitheroe,53.9171897,-2.5205053,+44 1200 448222,https://www.innatwhitewell.com/,,,,268520842,node,2026-03-06T09:39:44.351616
restaurants,Trattoria San Marco,restaurant,,"237, Liverpool Old Road, Preston, PR4 4RJ",PR4 4RJ,Preston,53.6962167,-2.8107776,,,,,,292728697,node,2026-03-06T09:39:44.351618
restaurants,The Hawthornes,restaurant,,,,,53.6007555,-2.5868142,,http://www.thehawthornsblackrod.co.uk/,,,,370684721,node,2026-03-06T09:39:44.351622
restaurants,Barton Bangla Brasserie,restaurant,indian,"913, Garstang Road, PR3 5AB",PR3 5AB,,53.838195,-2.7397636,+44 1995 640236,https://bartonbanglabrasserie.co.uk/,17:00-23:00,,,390544210,node,2026-03-06T09:39:44.351624
restaurants,Sai Surbhi,restaurant,,"323-325, Garstang Road, PR2 9UP",PR2 9UP,,53.7915714,-2.7139872,+44 1772 715000,https://saisurbhipreston.co.uk/,,,,390544214,node,2026-03-06T09:39:44.351626
